date,time (UTC+1),title,artists,description,venue,ticket_type,venue_type,is_streaming,ticket_price_gbp,interested,categories,short_url,long_url
2021-10-08,11:00,01. A Cumbrian Idyll,"Gavin Plumley
Jess Dandy
Martin Roscoe
James Rebanks","To start the Festival, we put a best-selling author-shepherd, a brilliant young singer and a world-renowned pianist in a room to talk about if and where landscape, music, lambing and poetry overlap. Each with roots in Cumbria, these three artists ask what we mean by ‘pastoral’ and explore how a landscape has shaped their own creativity, with music and poetry by Vaughan Williams, Wor...",Jacqueline du Pré Music Building,General Admission,In-person & Streaming (Digital Concert Hall),1,15,0,study-event,/event/1261,https://www.oxfordlieder.co.uk/event/1261
2021-10-08,11:00,01. A Cumbrian Idyll,"Gavin Plumley
Jess Dandy
Martin Roscoe
James Rebanks","To start the Festival, we put a best-selling author-shepherd, a brilliant young singer and a world-renowned pianist in a room to talk about if and where landscape, music, lambing and poetry overlap. Each with roots in Cumbria, these three artists ask what we mean by ‘pastoral’ and explore how a landscape has shaped their own creativity, with music and poetry by Vaughan Williams, Wor...",Jacqueline du Pré Music Building,General Admission,In-person only,0,12,0,study-event,/event/1261,https://www.oxfordlieder.co.uk/event/1261
2021-10-08,11:00,01. A Cumbrian Idyll,"Gavin Plumley
Jess Dandy
Martin Roscoe
James Rebanks","To start the Festival, we put a best-selling author-shepherd, a brilliant young singer and a world-renowned pianist in a room to talk about if and where landscape, music, lambing and poetry overlap. Each with roots in Cumbria, these three artists ask what we mean by ‘pastoral’ and explore how a landscape has shaped their own creativity, with music and poetry by Vaughan Williams, Wor...",Jacqueline du Pré Music Building,Online Streaming Access,Digital Concert Hall - Live stream only,1,5,0,study-event,/event/1261,https://www.oxfordlieder.co.uk/event/1261
2021-10-08,13:00,02. The Miller’s Daughter,"Simon Lepper
Simon Bode","1820s Vienna might have been a metropolis of the time but it was a small city by today’s standards and Franz Schubert could walk easily into the hills with their woods and babbling brooks. Nature is everywhere in Schubert’s songs, and in his masterful song cycle 
Die schöne Müllerin, water and the colour green are as much lead characters as the love-struck young...",Saint John the Evangelist,Seating Area A,In-person & Streaming (Digital Concert Hall),1,23,0,lunchtime,/event/1260,https://www.oxfordlieder.co.uk/event/1260
2021-10-08,13:00,02. The Miller’s Daughter,"Simon Lepper
Simon Bode","1820s Vienna might have been a metropolis of the time but it was a small city by today’s standards and Franz Schubert could walk easily into the hills with their woods and babbling brooks. Nature is everywhere in Schubert’s songs, and in his masterful song cycle 
Die schöne Müllerin, water and the colour green are as much lead characters as the love-struck young...",Saint John the Evangelist,Seating Area A,In-person only,0,20,0,lunchtime,/event/1260,https://www.oxfordlieder.co.uk/event/1260
2021-10-08,13:00,02. The Miller’s Daughter,"Simon Lepper
Simon Bode","1820s Vienna might have been a metropolis of the time but it was a small city by today’s standards and Franz Schubert could walk easily into the hills with their woods and babbling brooks. Nature is everywhere in Schubert’s songs, and in his masterful song cycle 
Die schöne Müllerin, water and the colour green are as much lead characters as the love-struck young...",Saint John the Evangelist,Seating Area B,In-person & Streaming (Digital Concert Hall),1,15,0,lunchtime,/event/1260,https://www.oxfordlieder.co.uk/event/1260
2021-10-08,13:00,02. The Miller’s Daughter,"Simon Lepper
Simon Bode","1820s Vienna might have been a metropolis of the time but it was a small city by today’s standards and Franz Schubert could walk easily into the hills with their woods and babbling brooks. Nature is everywhere in Schubert’s songs, and in his masterful song cycle 
Die schöne Müllerin, water and the colour green are as much lead characters as the love-struck young...",Saint John the Evangelist,Seating Area B,In-person only,0,12,0,lunchtime,/event/1260,https://www.oxfordlieder.co.uk/event/1260
2021-10-08,13:00,02. The Miller’s Daughter,"Simon Lepper
Simon Bode","1820s Vienna might have been a metropolis of the time but it was a small city by today’s standards and Franz Schubert could walk easily into the hills with their woods and babbling brooks. Nature is everywhere in Schubert’s songs, and in his masterful song cycle 
Die schöne Müllerin, water and the colour green are as much lead characters as the love-struck young...",Saint John the Evangelist,Online Streaming Access,Digital Concert Hall - Live stream only,1,8,0,lunchtime,/event/1260,https://www.oxfordlieder.co.uk/event/1260
2021-10-08,13:00,02. The Miller’s Daughter,"Simon Lepper
Simon Bode","1820s Vienna might have been a metropolis of the time but it was a small city by today’s standards and Franz Schubert could walk easily into the hills with their woods and babbling brooks. Nature is everywhere in Schubert’s songs, and in his masterful song cycle 
Die schöne Müllerin, water and the colour green are as much lead characters as the love-struck young...",Saint John the Evangelist,Online Streaming Access,Under 35s: Digital Concert Hall - Live stream only,1,5,0,lunchtime,/event/1260,https://www.oxfordlieder.co.uk/event/1260
2021-10-08,15:30,03. Gurney's Gloucestershire,"Anna Cavaliero
Kate Kennedy
Natalie Burch","Ahead of the 5.45pm performance of To His Love, Kate Kennedy, author of the newly-published Dweller in Shadows: A Life of Ivor Gurney, delves into the profound influence of the Gloucestershire landscape on the poetry and music of Ivor Gurney, with live performances illustrating her talk given by soprano Anna Cavaliero and pianist Natalie Burch.
PRACTICAL INFORMATION
This event...",Jacqueline du Pré Music Building,General Admission,In-person & Streaming (Digital Concert Hall),1,11,0,study-event,/event/1262,https://www.oxfordlieder.co.uk/event/1262
2021-10-08,15:30,03. Gurney's Gloucestershire,"Anna Cavaliero
Kate Kennedy
Natalie Burch","Ahead of the 5.45pm performance of To His Love, Kate Kennedy, author of the newly-published Dweller in Shadows: A Life of Ivor Gurney, delves into the profound influence of the Gloucestershire landscape on the poetry and music of Ivor Gurney, with live performances illustrating her talk given by soprano Anna Cavaliero and pianist Natalie Burch.
PRACTICAL INFORMATION
This event...",Jacqueline du Pré Music Building,General Admission,In-person only,0,8,0,study-event,/event/1262,https://www.oxfordlieder.co.uk/event/1262
2021-10-08,15:30,03. Gurney's Gloucestershire,"Anna Cavaliero
Kate Kennedy
Natalie Burch","Ahead of the 5.45pm performance of To His Love, Kate Kennedy, author of the newly-published Dweller in Shadows: A Life of Ivor Gurney, delves into the profound influence of the Gloucestershire landscape on the poetry and music of Ivor Gurney, with live performances illustrating her talk given by soprano Anna Cavaliero and pianist Natalie Burch.
PRACTICAL INFORMATION
This event...",Jacqueline du Pré Music Building,Online Streaming Access,Digital Concert Hall - Live stream only,1,3,0,study-event,/event/1262,https://www.oxfordlieder.co.uk/event/1262
2021-10-08,17:30,04. Summer Nights (first performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 06 for information on the 8.15pm in-person and livestreamed performance.
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pi...",Saint John the Evangelist,Seating Area A,In-person & Streaming (Digital Concert Hall),1,38,0,"early-evening
evening",/event/1263,https://www.oxfordlieder.co.uk/event/1263
2021-10-08,17:30,04. Summer Nights (first performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 06 for information on the 8.15pm in-person and livestreamed performance.
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pi...",Saint John the Evangelist,Seating Area A,In-person only,0,35,0,"early-evening
evening",/event/1263,https://www.oxfordlieder.co.uk/event/1263
2021-10-08,17:30,04. Summer Nights (first performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 06 for information on the 8.15pm in-person and livestreamed performance.
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pi...",Saint John the Evangelist,Seating Area B,In-person & Streaming (Digital Concert Hall),1,25,0,"early-evening
evening",/event/1263,https://www.oxfordlieder.co.uk/event/1263
2021-10-08,17:30,04. Summer Nights (first performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 06 for information on the 8.15pm in-person and livestreamed performance.
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pi...",Saint John the Evangelist,Seating Area B,In-person only,0,22,0,"early-evening
evening",/event/1263,https://www.oxfordlieder.co.uk/event/1263
2021-10-08,17:30,04. Summer Nights (first performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 06 for information on the 8.15pm in-person and livestreamed performance.
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pi...",Saint John the Evangelist,Seating Area C (live video view),In-person & Streaming (Digital Concert Hall),1,16,0,"early-evening
evening",/event/1263,https://www.oxfordlieder.co.uk/event/1263
2021-10-08,17:30,04. Summer Nights (first performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 06 for information on the 8.15pm in-person and livestreamed performance.
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pi...",Saint John the Evangelist,Seating Area C (live video view),In-person only,0,13,0,"early-evening
evening",/event/1263,https://www.oxfordlieder.co.uk/event/1263
2021-10-08,17:30,04. Summer Nights (first performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 06 for information on the 8.15pm in-person and livestreamed performance.
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pi...",Saint John the Evangelist,Seating Area D (No Sightlines),In-person only,0,5,0,"early-evening
evening",/event/1263,https://www.oxfordlieder.co.uk/event/1263
2021-10-08,17:45,05. To His Love,"Robert Murray
Robin Tritschler
Simon Over","This dramatised recital brings the fascinating but troubled personality of poet and composer Ivor Gurney to life. Created by writer, broadcaster and Gurney biographer Kate Kennedy (see Event 3), To His Love poignantly illustrates the terrible effects of war and Gurney’s subsequent incarceration in an asylum and enforced separation from his beloved Gloucestershire.
PRACTICAL INFORMATI...",Jacqueline du Pré Music Building,General Admission,In-person & Streaming (Digital Concert Hall),1,18,0,rush-hour,/event/1264,https://www.oxfordlieder.co.uk/event/1264
2021-10-08,17:45,05. To His Love,"Robert Murray
Robin Tritschler
Simon Over","This dramatised recital brings the fascinating but troubled personality of poet and composer Ivor Gurney to life. Created by writer, broadcaster and Gurney biographer Kate Kennedy (see Event 3), To His Love poignantly illustrates the terrible effects of war and Gurney’s subsequent incarceration in an asylum and enforced separation from his beloved Gloucestershire.
PRACTICAL INFORMATI...",Jacqueline du Pré Music Building,General Admission,In-person only,0,15,0,rush-hour,/event/1264,https://www.oxfordlieder.co.uk/event/1264
2021-10-08,17:45,05. To His Love,"Robert Murray
Robin Tritschler
Simon Over","This dramatised recital brings the fascinating but troubled personality of poet and composer Ivor Gurney to life. Created by writer, broadcaster and Gurney biographer Kate Kennedy (see Event 3), To His Love poignantly illustrates the terrible effects of war and Gurney’s subsequent incarceration in an asylum and enforced separation from his beloved Gloucestershire.
PRACTICAL INFORMATI...",Jacqueline du Pré Music Building,Online Streaming Access,Digital Concert Hall - Live stream only,1,8,0,rush-hour,/event/1264,https://www.oxfordlieder.co.uk/event/1264
2021-10-08,17:45,05. To His Love,"Robert Murray
Robin Tritschler
Simon Over","This dramatised recital brings the fascinating but troubled personality of poet and composer Ivor Gurney to life. Created by writer, broadcaster and Gurney biographer Kate Kennedy (see Event 3), To His Love poignantly illustrates the terrible effects of war and Gurney’s subsequent incarceration in an asylum and enforced separation from his beloved Gloucestershire.
PRACTICAL INFORMATI...",Jacqueline du Pré Music Building,Online Streaming Access,Under 35s: Digital Concert Hall - Live stream only,1,5,0,rush-hour,/event/1264,https://www.oxfordlieder.co.uk/event/1264
2021-10-08,20:15,06. Summer Nights (second performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 8.15pm performance is a repeat performance of Event 04. This performance will be in-person and livestreamed.
 
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pianist Julius Drake, s...",Saint John the Evangelist,Seating Area A,In-person & Streaming (Digital Concert Hall),1,38,0,evening,/event/1272,https://www.oxfordlieder.co.uk/event/1272
2021-10-08,20:15,06. Summer Nights (second performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 8.15pm performance is a repeat performance of Event 04. This performance will be in-person and livestreamed.
 
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pianist Julius Drake, s...",Saint John the Evangelist,Seating Area A,In-person only,0,35,0,evening,/event/1272,https://www.oxfordlieder.co.uk/event/1272
2021-10-08,20:15,06. Summer Nights (second performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 8.15pm performance is a repeat performance of Event 04. This performance will be in-person and livestreamed.
 
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pianist Julius Drake, s...",Saint John the Evangelist,Seating Area B,In-person & Streaming (Digital Concert Hall),1,25,0,evening,/event/1272,https://www.oxfordlieder.co.uk/event/1272
2021-10-08,20:15,06. Summer Nights (second performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 8.15pm performance is a repeat performance of Event 04. This performance will be in-person and livestreamed.
 
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pianist Julius Drake, s...",Saint John the Evangelist,Seating Area B,In-person only,0,22,0,evening,/event/1272,https://www.oxfordlieder.co.uk/event/1272
2021-10-08,20:15,06. Summer Nights (second performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 8.15pm performance is a repeat performance of Event 04. This performance will be in-person and livestreamed.
 
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pianist Julius Drake, s...",Saint John the Evangelist,Seating Area C (live video view),In-person & Streaming (Digital Concert Hall),1,16,0,evening,/event/1272,https://www.oxfordlieder.co.uk/event/1272
2021-10-08,20:15,06. Summer Nights (second performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 8.15pm performance is a repeat performance of Event 04. This performance will be in-person and livestreamed.
 
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pianist Julius Drake, s...",Saint John the Evangelist,Seating Area C (live video view),In-person only,0,13,0,evening,/event/1272,https://www.oxfordlieder.co.uk/event/1272
2021-10-08,20:15,06. Summer Nights (second performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 8.15pm performance is a repeat performance of Event 04. This performance will be in-person and livestreamed.
 
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pianist Julius Drake, s...",Saint John the Evangelist,Seating Area D (No Sightlines),In-person only,0,5,0,evening,/event/1272,https://www.oxfordlieder.co.uk/event/1272
2021-10-08,20:15,06. Summer Nights (second performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 8.15pm performance is a repeat performance of Event 04. This performance will be in-person and livestreamed.
 
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pianist Julius Drake, s...",Saint John the Evangelist,Online Streaming Access,Digital Concert Hall - Live stream only,1,13,0,evening,/event/1272,https://www.oxfordlieder.co.uk/event/1272
2021-10-08,20:15,06. Summer Nights (second performance),"Julius Drake
Sarah Connolly
Gus Tredwell
Charles Cunliffe","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 8.15pm performance is a repeat performance of Event 04. This performance will be in-person and livestreamed.
 
Star of The Last Night of the Proms and the world’s great stages, Dame Sarah Connolly’s Festival appearances are always eagerly anticipated. With the celebrated pianist Julius Drake, s...",Saint John the Evangelist,Online Streaming Access,Under 35s: Digital Concert Hall - Live stream only,1,5,0,evening,/event/1272,https://www.oxfordlieder.co.uk/event/1272
2021-10-09,11:00,07. Natural Histories,"Victor Sicard
Anna Cardona","This outstanding duo were Oxford Lieder’s first ever Young Artist Platform winners back in 2011. They have both enjoyed tremendous success since then and their recent CD of Ravel songs has been widely praised. Today, they include songs by Saint-Saëns, his student Gabriel Fauré, and Fauré’s student Maurice Ravel. The latter’s Histoires Naturelles (&...",Saint John the Evangelist,Seating Area A,In-person & Streaming (Digital Concert Hall),1,18,0,,/event/1273,https://www.oxfordlieder.co.uk/event/1273
2021-10-09,11:00,07. Natural Histories,"Victor Sicard
Anna Cardona","This outstanding duo were Oxford Lieder’s first ever Young Artist Platform winners back in 2011. They have both enjoyed tremendous success since then and their recent CD of Ravel songs has been widely praised. Today, they include songs by Saint-Saëns, his student Gabriel Fauré, and Fauré’s student Maurice Ravel. The latter’s Histoires Naturelles (&...",Saint John the Evangelist,Seating Area A,In-person only,0,15,0,,/event/1273,https://www.oxfordlieder.co.uk/event/1273
2021-10-09,11:00,07. Natural Histories,"Victor Sicard
Anna Cardona","This outstanding duo were Oxford Lieder’s first ever Young Artist Platform winners back in 2011. They have both enjoyed tremendous success since then and their recent CD of Ravel songs has been widely praised. Today, they include songs by Saint-Saëns, his student Gabriel Fauré, and Fauré’s student Maurice Ravel. The latter’s Histoires Naturelles (&...",Saint John the Evangelist,Seating Area B,In-person & Streaming (Digital Concert Hall),1,13,0,,/event/1273,https://www.oxfordlieder.co.uk/event/1273
2021-10-09,11:00,07. Natural Histories,"Victor Sicard
Anna Cardona","This outstanding duo were Oxford Lieder’s first ever Young Artist Platform winners back in 2011. They have both enjoyed tremendous success since then and their recent CD of Ravel songs has been widely praised. Today, they include songs by Saint-Saëns, his student Gabriel Fauré, and Fauré’s student Maurice Ravel. The latter’s Histoires Naturelles (&...",Saint John the Evangelist,Seating Area B,In-person only,0,10,0,,/event/1273,https://www.oxfordlieder.co.uk/event/1273
2021-10-09,11:00,07. Natural Histories,"Victor Sicard
Anna Cardona","This outstanding duo were Oxford Lieder’s first ever Young Artist Platform winners back in 2011. They have both enjoyed tremendous success since then and their recent CD of Ravel songs has been widely praised. Today, they include songs by Saint-Saëns, his student Gabriel Fauré, and Fauré’s student Maurice Ravel. The latter’s Histoires Naturelles (&...",Saint John the Evangelist,Online Streaming Access,Digital Concert Hall - Live stream only,1,8,0,,/event/1273,https://www.oxfordlieder.co.uk/event/1273
2021-10-09,11:00,07. Natural Histories,"Victor Sicard
Anna Cardona","This outstanding duo were Oxford Lieder’s first ever Young Artist Platform winners back in 2011. They have both enjoyed tremendous success since then and their recent CD of Ravel songs has been widely praised. Today, they include songs by Saint-Saëns, his student Gabriel Fauré, and Fauré’s student Maurice Ravel. The latter’s Histoires Naturelles (&...",Saint John the Evangelist,Online Streaming Access,Under 35s: Digital Concert Hall - Live stream only,1,5,0,,/event/1273,https://www.oxfordlieder.co.uk/event/1273
2021-10-09,13:30,08. Celebrating Saint-Saëns,"Liam Bonthrone
Flora Willson
Jennifer Rushworth
Bernadette Johns
Benjamin Mead","1.30pm - 2.30pm - Part 1: Camille Saint-Saëns: A Life in Song
3pm - 4pm - Part 2: Saint-Saëns and the Musical World of the Salon
Today we celebrate and explore the French composer Camille Saint-Saëns, who died 100 years ago this year (and whose 186th birthday would have fallen today). Although best known these days for his orchestral works, Saint-Saëns wrote ...",Jacqueline du Pré Music Building,General Admission,In-person & Streaming (Digital Concert Hall),1,15,0,study-event,/event/1274,https://www.oxfordlieder.co.uk/event/1274
2021-10-09,13:30,08. Celebrating Saint-Saëns,"Liam Bonthrone
Flora Willson
Jennifer Rushworth
Bernadette Johns
Benjamin Mead","1.30pm - 2.30pm - Part 1: Camille Saint-Saëns: A Life in Song
3pm - 4pm - Part 2: Saint-Saëns and the Musical World of the Salon
Today we celebrate and explore the French composer Camille Saint-Saëns, who died 100 years ago this year (and whose 186th birthday would have fallen today). Although best known these days for his orchestral works, Saint-Saëns wrote ...",Jacqueline du Pré Music Building,General Admission,In-person only,0,12,0,study-event,/event/1274,https://www.oxfordlieder.co.uk/event/1274
2021-10-09,13:30,08. Celebrating Saint-Saëns,"Liam Bonthrone
Flora Willson
Jennifer Rushworth
Bernadette Johns
Benjamin Mead","1.30pm - 2.30pm - Part 1: Camille Saint-Saëns: A Life in Song
3pm - 4pm - Part 2: Saint-Saëns and the Musical World of the Salon
Today we celebrate and explore the French composer Camille Saint-Saëns, who died 100 years ago this year (and whose 186th birthday would have fallen today). Although best known these days for his orchestral works, Saint-Saëns wrote ...",Jacqueline du Pré Music Building,Online Streaming Access,Digital Concert Hall - Live stream only,1,5,0,study-event,/event/1274,https://www.oxfordlieder.co.uk/event/1274
2021-10-09,17:30,09. Carnival of the Animals (first performance),"Elizabeth Watts
Jonathan Stone
Jâms Coleman
Felix Kemp
Martin Sturfält
Echor Chamber Orchestra","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 11 for information on the 8.15pm in-person and livestreamed performance.
Saint-Saëns was mortified that Carnival of the Animals became his best-known work, but there is no denying its perennial appeal. In tonight’s performance ...",Saint John the Evangelist,Seating Area A,In-person & Streaming (Digital Concert Hall),1,38,0,"chamber-music
early-evening
evening",/event/1275,https://www.oxfordlieder.co.uk/event/1275
2021-10-09,17:30,09. Carnival of the Animals (first performance),"Elizabeth Watts
Jonathan Stone
Jâms Coleman
Felix Kemp
Martin Sturfält
Echor Chamber Orchestra","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 11 for information on the 8.15pm in-person and livestreamed performance.
Saint-Saëns was mortified that Carnival of the Animals became his best-known work, but there is no denying its perennial appeal. In tonight’s performance ...",Saint John the Evangelist,Seating Area A,In-person only,0,35,0,"chamber-music
early-evening
evening",/event/1275,https://www.oxfordlieder.co.uk/event/1275
2021-10-09,17:30,09. Carnival of the Animals (first performance),"Elizabeth Watts
Jonathan Stone
Jâms Coleman
Felix Kemp
Martin Sturfält
Echor Chamber Orchestra","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 11 for information on the 8.15pm in-person and livestreamed performance.
Saint-Saëns was mortified that Carnival of the Animals became his best-known work, but there is no denying its perennial appeal. In tonight’s performance ...",Saint John the Evangelist,Seating Area B,In-person & Streaming (Digital Concert Hall),1,25,0,"chamber-music
early-evening
evening",/event/1275,https://www.oxfordlieder.co.uk/event/1275
2021-10-09,17:30,09. Carnival of the Animals (first performance),"Elizabeth Watts
Jonathan Stone
Jâms Coleman
Felix Kemp
Martin Sturfält
Echor Chamber Orchestra","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 11 for information on the 8.15pm in-person and livestreamed performance.
Saint-Saëns was mortified that Carnival of the Animals became his best-known work, but there is no denying its perennial appeal. In tonight’s performance ...",Saint John the Evangelist,Seating Area B,In-person only,0,22,0,"chamber-music
early-evening
evening",/event/1275,https://www.oxfordlieder.co.uk/event/1275
2021-10-09,17:30,09. Carnival of the Animals (first performance),"Elizabeth Watts
Jonathan Stone
Jâms Coleman
Felix Kemp
Martin Sturfält
Echor Chamber Orchestra","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 11 for information on the 8.15pm in-person and livestreamed performance.
Saint-Saëns was mortified that Carnival of the Animals became his best-known work, but there is no denying its perennial appeal. In tonight’s performance ...",Saint John the Evangelist,Seating Area C (live video view),In-person & Streaming (Digital Concert Hall),1,16,0,"chamber-music
early-evening
evening",/event/1275,https://www.oxfordlieder.co.uk/event/1275
2021-10-09,17:30,09. Carnival of the Animals (first performance),"Elizabeth Watts
Jonathan Stone
Jâms Coleman
Felix Kemp
Martin Sturfält
Echor Chamber Orchestra","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 11 for information on the 8.15pm in-person and livestreamed performance.
Saint-Saëns was mortified that Carnival of the Animals became his best-known work, but there is no denying its perennial appeal. In tonight’s performance ...",Saint John the Evangelist,Seating Area C (live video view),In-person only,0,13,0,"chamber-music
early-evening
evening",/event/1275,https://www.oxfordlieder.co.uk/event/1275
2021-10-09,17:30,09. Carnival of the Animals (first performance),"Elizabeth Watts
Jonathan Stone
Jâms Coleman
Felix Kemp
Martin Sturfält
Echor Chamber Orchestra","All evening concerts this year are performed twice, at 5.30pm and 8.15pm. This 5.30pm performance will be in-person only. Please see Event 11 for information on the 8.15pm in-person and livestreamed performance.
Saint-Saëns was mortified that Carnival of the Animals became his best-known work, but there is no denying its perennial appeal. In tonight’s performance ...",Saint John the Evangelist,Seating Area D (No Sightlines),In-person only,0,5,0,"chamber-music
early-evening
evening",/event/1275,https://www.oxfordlieder.co.uk/event/1275
2021-10-09,17:45,10. Master & Pupil,"Martin Roscoe
Fenella Humphreys","The Festival has a strong strand of chamber music that complements the themes and songs of particular days. In this first chamber recital, we hear two dazzling violin sonatas by Saint-Saëns and his distinguished student Gabriel Fauré, performed by this exceptional duo. Both sonatas are passionate, profound and virtuosic, and although the master-pupil influence is audible, each inhab...",Jacqueline du Pré Music Building,General Admission,In-person & Streaming (Digital Concert Hall),1,18,0,"chamber-music
rush-hour",/event/1276,https://www.oxfordlieder.co.uk/event/1276
2021-10-09,17:45,10. Master & Pupil,"Martin Roscoe
Fenella Humphreys","The Festival has a strong strand of chamber music that complements the themes and songs of particular days. In this first chamber recital, we hear two dazzling violin sonatas by Saint-Saëns and his distinguished student Gabriel Fauré, performed by this exceptional duo. Both sonatas are passionate, profound and virtuosic, and although the master-pupil influence is audible, each inhab...",Jacqueline du Pré Music Building,General Admission,In-person only,0,15,0,"chamber-music
rush-hour",/event/1276,https://www.oxfordlieder.co.uk/event/1276
2021-10-09,17:45,10. Master & Pupil,"Martin Roscoe
Fenella Humphreys","The Festival has a strong strand of chamber music that complements the themes and songs of particular days. In this first chamber recital, we hear two dazzling violin sonatas by Saint-Saëns and his distinguished student Gabriel Fauré, performed by this exceptional duo. Both sonatas are passionate, profound and virtuosic, and although the master-pupil influence is audible, each inhab...",Jacqueline du Pré Music Building,Online Streaming Access,Digital Concert Hall - Live stream only,1,8,0,"chamber-music
rush-hour",/event/1276,https://www.oxfordlieder.co.uk/event/1276
2021-10-09,17:45,10. Master & Pupil,"Martin Roscoe
Fenella Humphreys","The Festival has a strong strand of chamber music that complements the themes and songs of particular days. In this first chamber recital, we hear two dazzling violin sonatas by Saint-Saëns and his distinguished student Gabriel Fauré, performed by this exceptional duo. Both sonatas are passionate, profound and virtuosic, and although the master-pupil influence is audible, each inhab...",Jacqueline du Pré Music Building,Online Streaming Access,Under 35s: Digital Concert Hall - Live stream only,1,5,0,"chamber-music
rush-hour",/event/1276,https://www.oxfordlieder.co.uk/event/1276
